name,d2018,d2017,d2016,industry,coding,T_ind,market_value
ＧＭＯペイメントゲートウェイ(株)【3769】,10388,8301,6550,情報・通信,3769,情報・通信,"1,102,429"
王子ホールディングス(株)【3861】,84793,106125,110212,パルプ・紙,3861,パルプ・紙,"570,083"
日本製紙(株)【3863】,19233,35048,19615,パルプ・紙,3863,パルプ・紙,"136,367"
大王製紙(株)【3880】,36873,30629,12122,パルプ・紙,3880,パルプ・紙,"333,293"
(株)ラクス【3923】,3898,1174,1468,情報・通信,3923,情報・通信,"612,510"
(株)アカツキ【3932】,11294,11053,13635,情報・通信,3932,情報・通信,"44,968"
レンゴー(株)【3941】,39938,41227,25292,パルプ・紙,3941,パルプ・紙,"234,192"
昭和電工(株)【4004】,-19449,120798,180003,化学,4004,化学,"532,516"
住友化学(株)【4005】,137115,137517,182972,化学,4005,化学,"956,848"
日産化学(株)【4021】,42530,38647,37091,化学,4021,化学,"905,190"
東ソー(株)【4042】,87819,81658,105739,化学,4042,化学,"625,131"
(株)トクヤマ【4043】,30921,34281,35262,化学,4043,化学,"144,825"
デンカ(株)【4061】,34729,31587,34228,化学,4061,化学,"336,069"
信越化学工業(株)【4063】,392213,406041,403705,化学,4063,化学,"7,968,676"
エア・ウォーター(株)【4088】,51231,50616,43580,化学,4088,化学,"393,800"
日本酸素ホールディングス(株)【4091】,88846,93921,66863,化学,4091,化学,"1,140,333"
協和キリン(株)【4151】,50763,44770,74193,医薬品,4151,医薬品,"1,992,600"
三菱ガス化学(株)【4182】,44510,34260,41386,化学,4182,化学,"531,616"
三井化学(株)【4183】,78074,71636,93427,化学,4183,化学,"712,194"
(株)三菱ケミカルホールディングス【4188】,47518,144285,297950,化学,4188,化学,"1,453,568"
(株)ダイセル【4202】,31723,29644,51171,化学,4202,化学,"260,531"
積水化学工業(株)【4204】,67300,87768,95686,化学,4204,化学,"838,811"
日本ゼオン(株)【4205】,33408,26104,33147,化学,4205,化学,"347,079"
アイカ工業(株)【4206】,17991,20850,20834,化学,4206,化学,"241,299"
宇部興産(株)【4208】,25902,34033,44551,化学,4208,化学,"232,047"
(株)野村総合研究所【4307】,80748,83178,71442,情報・通信,4307,情報・通信,"2,567,979"
(株)電通グループ【4324】,-140625,-3358,111638,サービス業,4324,サービス業,"1,188,249"
インフォコム(株)【4348】,10812,8211,6889,情報・通信,4348,情報・通信,"137,030"
日油(株)【4403】,26602,26874,28442,化学,4403,化学,"465,569"
花王(株)【4452】,175563,211723,207703,化学,4452,化学,"3,035,725"
武田薬品工業(株)【4502】,509269,100408,204969,医薬品,4502,医薬品,"5,067,955"
アステラス製薬(株)【4503】,136051,243991,243912,医薬品,4503,医薬品,"3,644,448"
大日本住友製薬(株)【4506】,71224,83239,57884,医薬品,4506,医薬品,"754,419"
塩野義製薬(株)【4507】,117438,130628,138537,医薬品,4507,医薬品,"2,345,309"
日本新薬(株)【4516】,26134,21668,20644,医薬品,4516,医薬品,"628,048"
中外製薬(株)【4519】,301230,210597,124323,医薬品,4519,医薬品,"6,449,260"
科研製薬(株)【4521】,17788,26512,24592,医薬品,4521,医薬品,"205,810"
エーザイ(株)【4523】,51766,125502,86154,医薬品,4523,医薬品,"2,384,102"
ロート製薬(株)【4527】,22990,23085,20812,医薬品,4527,医薬品,"399,732"
小野薬品工業(株)【4528】,98330,77491,62010,医薬品,4528,医薬品,"1,299,456"
参天製薬(株)【4536】,12917,33535,45098,医薬品,4536,医薬品,"635,036"
テルモ(株)【4543】,98386,110611,106637,精密機器,4543,精密機器,"3,835,581"
ＪＣＲファーマ(株)【4552】,8269,3244,4967,医薬品,4552,医薬品,"369,476"
東和薬品(株)【4553】,19923,16143,15968,医薬品,4553,医薬品,"182,367"
第一三共(株)【4568】,63795,138800,83705,医薬品,4568,医薬品,"5,355,317"
大塚ホールディングス(株)【4578】,198582,176585,108304,医薬品,4578,医薬品,"2,592,820"
ペプチドリーム(株)【4587】,,,,医薬品,4587,医薬品,"331,397"
日本ペイントホールディングス(株)【4612】,86933,78060,86542,化学,4612,化学,"2,986,845"
関西ペイント(株)【4613】,31228,31510,32306,化学,4613,化学,"711,001"
ＤＩＣ(株)【4631】,39663,41332,48385,化学,4631,化学,"288,801"
(株)オリエンタルランド【4661】,-45989,96862,129278,サービス業,4661,サービス業,"6,546,423"
(株)オービック【4684】,48077,43238,37939,情報・通信,4684,情報・通信,"2,153,352"
(株)ジャストシステム【4686】,15069,13084,7599,情報・通信,4686,情報・通信,"375,715"
Ｚホールディングス(株)【4689】,162125,152276,140528,情報・通信,4689,情報・通信,"5,076,905"
トレンドマイクロ(株)【4704】,39464,37686,35836,情報・通信,4704,情報・通信,"892,270"
日本オラクル(株)【4716】,,,,情報・通信,4716,情報・通信,"1,336,350"
(株)ユー・エス・エス【4732】,36227,36009,37123,サービス業,4732,サービス業,"560,404"
伊藤忠テクノソリューションズ(株)【4739】,43625,41667,35898,情報・通信,4739,情報・通信,"867,600"
(株)サイバーエージェント【4751】,33880,30825,30163,サービス業,4751,サービス業,"1,003,827"
楽天グループ(株)【4755】,-93849,72745,170425,サービス業,4755,サービス業,"1,965,925"
(株)大塚商会【4768】,56309,62192,48058,情報・通信,4768,情報・通信,"1,090,612"
ＩＳＩＤ【4812】,12189,10075,8239,情報・通信,4812,情報・通信,"258,774"
東映アニメーション(株)【4816】,15503,16094,15741,情報・通信,4816,情報・通信,"850,920"
