d2021,d2020,d2019,d2018,d2017,industry,coding,title,market_value,returns_ratio,min_callshares
56219,40753,48627,53448,31316,医薬品,4506,大日本住友製薬(株),"754,419",1.48,"189,600"
111858,122193,137191,108866,83879,医薬品,4507,塩野義製薬(株),"2,345,309",1.46,"752,700"
20702,16866,16302,12953,11749,医薬品,4516,日本新薬(株),"628,048",1.15,"894,000"
302995,214733,157560,92488,72713,医薬品,4519,中外製薬(株),"6,449,260",1.56,"384,100"
13405,19370,17775,19043,22017,医薬品,4521,科研製薬(株),"205,810",3.35,"448,000"
42119,121767,63386,51845,39358,医薬品,4523,エーザイ(株),"2,384,102",1.99,"803,900"
16743,15410,9799,9289,10011,医薬品,4527,ロート製薬(株),"399,732",0.89,"338,500"
75425,59704,51539,50284,55793,医薬品,4528,小野薬品工業(株),"1,299,456",2.28,"245,950"
6830,23618,31954,35247,21731,医薬品,4536,参天製薬(株),"635,036",2.02,"158,600"
77268,85211,79470,91295,55003,精密機器,4543,テルモ(株),"3,835,581",0.59,"505,000"
6892,2678,3715,3070,1863,医薬品,4552,ＪＣＲファーマ(株),"369,476",0.56,"284,900"
13958,14503,13475,6495,5576,医薬品,4553,東和薬品(株),"182,367",1.44,"354,000"
75958,129074,93409,60282,53466,医薬品,4568,第一三共(株),"5,355,317",0.98,"275,050"
125463,148137,127151,82492,112492,医薬品,4578,大塚ホールディングス(株),"2,592,820",2.15,"464,800"
3606,4448,－488,2770,2335,医薬品,4587,ペプチドリーム(株),"331,397",0.00,"254,900"
44648,36717,45351,49312,34788,化学,4612,日本ペイントホールディングス(株),"2,986,845",0.79,"126,000"
20027,18477,17405,17701,24168,化学,4613,関西ペイント(株),"711,001",1.15,"260,800"
13233,23500,32028,38603,34767,化学,4631,ＤＩＣ(株),"288,801",3.29,"303,500"
－54190,62217,90286,81191,82374,サービス業,4661,(株)オリエンタルランド,"6,546,423",---,"1,800,000"
38001,35096,32223,26268,23359,情報・通信,4684,(株)オービック,"2,153,352",0.86,"2,162,000"
10957,9287,6210,3518,3364,情報・通信,4686,(株)ジャストシステム,"375,715",0.27,"585,000"
70145,81675,78677,131153,136589,情報・通信,4689,Ｚホールディングス(株),"5,076,905",0.84,"66,310"
26904,27946,28314,25691,24651,情報・通信,4704,トレンドマイクロ(株),"892,270",---,"634,000"
49175,47686,43360,38751,36360,情報・通信,4716,日本オラクル(株),"1,336,350",---,"1,042,000"
